Property,1,2,3,4,5,7,8,9
1,,199.086,193.801,201.533,187.678,200.964,71.938,190.401
2,,195.626,195.322,187.477,187.16,207.45,72.045,177.25
3,,80.635,203.885,201.415,192.292,210.675,72.6,189.661
4,,89.305,103.217,186.009,159.42,207.638,71.621,187.511
5,,115.765,118.007,88.586,173.238,204.322,72.684,175.72
6,,133.637,131.41,141.611,64.472,202.843,70.171,188.053
7,,169.674,169.22,154.35,179.043,205.31,73.313,188.49
8,,173.51,178.572,182.545,183.11,199.434,75.336,190.03
9,,168.298,178.535,176.356,171.344,202.389,75.882,180.431
10,,186.987,181.308,188.484,176.747,212.003,76.004,180.626
